Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID,days_borrowed,book_description
1.0,Catcher in the Rye,20/02/2023,25/02/2023,2 weeks,1.0,5,"**Holden Caulfield, a disillusioned 16-year-old expelled from prep school, narrates his raw, cynical experiences wandering New York City, grappling with grief, ""phoniness,"" and preserving innocence.**"
2.0,Lord of the rings the two towers,24/03/2023,21/03/2023,2 weeks,2.0,-3,"**Concise Description (under 60 words):**

The fractured Fellowship continues their quests. Frodo and Sam, guided by the treacherous Gollum, journey towards Mordor. Meanwhile, Aragorn, Legolas, and Gimli race to rescue captured hobbits Merry and Pippin"
3.0,Lord of the rings the return of the kind,29/03/2023,25/03/2023,2 weeks,3.0,-4,"**Frodo and Sam reach Mount Doom for a final confrontation with Sauron, while Aragorn leads the forces of Middle-earth against Mordor's armies, culminating in the War of the Ring's end and profound change.** (22 words)"
4.0,The hobbit,02/04/2023,25/03/2023,2 weeks,4.0,-8,
5.0,Dune,02/04/2023,25/03/2023,2 weeks,5.0,-8,
6.0,Little Women,02/04/2023,01/05/2023,2 weeks,1.0,29,
7.0,IT,10/04/2063,03/04/2023,2 weeks,6.0,-14617,
8.0,Misery,15/04/2023,03/04/2023,2 weeks,7.0,-12,
9.0,Catch 22,15/04/2023,16/04/2023,2 weeks,7.0,1,
10.0,Animal Farm,20/04/2023,24/04/2023,2 weeks,2.0,4,
11.0,1984,23/04/2023,27/04/2023,2 weeks,8.0,4,
12.0,Little Women,02/04/2023,01/05/2023,2 weeks,1.0,29,
13.0,East of Eden,30/04/2023,05/05/2023,2 weeks,2.0,5,
14.0,America Is in the Heart,01/05/2023,07/05/2023,2 weeks,3.0,6,
15.0,Wuthering Heights,01/05/2023,10/05/2023,2 weeks,9.0,9,
16.0,Dark Tales,15/05/2023,01/06/2023,2 weeks,2.0,17,
18.0,Les Miserables,03/06/2023,07/06/2023,2 weeks,5.0,4,
19.0,Dracula,10/06/2023,10/07/2023,2 weeks,10.0,30,
20.0,Frankenstein,01/06/2023,20/06/2023,2 weeks,2.0,19,
