row_index,rule_step,drop_reason,Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID
21,Step 1,Empty row,,,,,,
22,Step 1,Empty row,,,,,,
23,Step 1,Empty row,,,,,,
24,Step 1,Empty row,,,,,,
25,Step 1,Empty row,,,,,,
26,Step 1,Empty row,,,,,,
27,Step 1,Empty row,,,,,,
28,Step 1,Empty row,,,,,,
29,Step 1,Empty row,,,,,,
30,Step 1,Empty row,,,,,,
31,Step 1,Empty row,,,,,,
32,Step 1,Empty row,,,,,,
33,Step 1,Empty row,,,,,,
34,Step 1,Empty row,,,,,,
35,Step 1,Empty row,,,,,,
36,Step 1,Empty row,,,,,,
37,Step 1,Empty row,,,,,,
38,Step 1,Empty row,,,,,,
39,Step 1,Empty row,,,,,,
40,Step 1,Empty row,,,,,,
41,Step 1,Empty row,,,,,,
42,Step 1,Empty row,,,,,,
43,Step 1,Empty row,,,,,,
44,Step 1,Empty row,,,,,,
45,Step 1,Empty row,,,,,,
46,Step 1,Empty row,,,,,,
47,Step 1,Empty row,,,,,,
48,Step 1,Empty row,,,,,,
49,Step 1,Empty row,,,,,,
50,Step 1,Empty row,,,,,,
51,Step 1,Empty row,,,,,,
52,Step 1,Empty row,,,,,,
53,Step 1,Empty row,,,,,,
54,Step 1,Empty row,,,,,,
55,Step 1,Empty row,,,,,,
56,Step 1,Empty row,,,,,,
57,Step 1,Empty row,,,,,,
58,Step 1,Empty row,,,,,,
59,Step 1,Empty row,,,,,,
60,Step 1,Empty row,,,,,,
61,Step 1,Empty row,,,,,,
62,Step 1,Empty row,,,,,,
63,Step 1,Empty row,,,,,,
64,Step 1,Empty row,,,,,,
65,Step 1,Empty row,,,,,,
66,Step 1,Empty row,,,,,,
67,Step 1,Empty row,,,,,,
68,Step 1,Empty row,,,,,,
69,Step 1,Empty row,,,,,,
70,Step 1,Empty row,,,,,,
71,Step 1,Empty row,,,,,,
72,Step 1,Empty row,,,,,,
73,Step 1,Empty row,,,,,,
74,Step 1,Empty row,,,,,,
75,Step 1,Empty row,,,,,,
76,Step 1,Empty row,,,,,,
77,Step 1,Empty row,,,,,,
78,Step 1,Empty row,,,,,,
79,Step 1,Empty row,,,,,,
80,Step 1,Empty row,,,,,,
81,Step 1,Empty row,,,,,,
82,Step 1,Empty row,,,,,,
83,Step 1,Empty row,,,,,,
84,Step 1,Empty row,,,,,,
85,Step 1,Empty row,,,,,,
86,Step 1,Empty row,,,,,,
87,Step 1,Empty row,,,,,,
88,Step 1,Empty row,,,,,,
89,Step 1,Empty row,,,,,,
90,Step 1,Empty row,,,,,,
91,Step 1,Empty row,,,,,,
92,Step 1,Empty row,,,,,,
93,Step 1,Empty row,,,,,,
94,Step 1,Empty row,,,,,,
95,Step 1,Empty row,,,,,,
96,Step 1,Empty row,,,,,,
97,Step 1,Empty row,,,,,,
98,Step 1,Empty row,,,,,,
99,Step 1,Empty row,,,,,,
100,Step 1,Empty row,,,,,,
101,Step 1,Empty row,,,,,,
102,Step 1,Empty row,,,,,,
103,Step 1,Empty row,,,,,,
104,Step 1,Empty row,,,,,,
105,Step 1,Empty row,,,,,,
106,Step 1,Empty row,,,,,,
107,Step 1,Empty row,,,,,,
108,Step 1,Empty row,,,,,,
109,Step 1,Empty row,,,,,,
110,Step 1,Empty row,,,,,,
111,Step 1,Empty row,,,,,,
112,Step 1,Empty row,,,,,,
113,Step 1,Empty row,,,,,,
20,Step 3,Missing Customer ID,21.0,,"""01/06/2023""",05/06/2023,2 weeks,
16,Step 4,Invalid checkout date,17.0,The Bloody Chamber,32/05/2023,04/06/2023,2 weeks,3.0
